date,close,turnover
2023-08-31,4.439,1.16
2023-09-01,4.462,1.1
2023-09-04,4.52,1.65
2023-09-05,4.493,0.87
2023-09-06,4.483,0.99
2023-09-07,4.43,1.31
2023-09-08,4.409,1.14
2023-09-11,4.437,1.13
2023-09-12,4.432,0.83
2023-09-13,4.407,1.43
2023-09-14,4.404,1.29
2023-09-15,4.387,1.65
2023-09-18,4.4,1.37
2023-09-19,4.395,1.01
2023-09-20,4.377,0.88
2023-09-21,4.342,1.25
2023-09-22,4.417,1.73
2023-09-25,4.389,0.97
2023-09-26,4.368,1.2
2023-09-27,4.378,1.5
2023-09-28,4.364,1.56
2023-10-09,4.354,1.22
2023-10-10,4.327,1.29
2023-10-11,4.335,1.24
2023-10-12,4.371,1.3
2023-10-13,4.336,1.58
2023-10-16,4.293,1.58
2023-10-17,4.305,1.23
2023-10-18,4.277,1.13
2023-10-19,4.2,2.35
2023-10-20,4.182,2.42
2023-10-23,4.144,3.77
2023-10-24,4.149,2.13
2023-10-25,4.169,1.92
2023-10-26,4.182,1.59
2023-10-27,4.236,2.29
2023-10-30,4.252,1.34
2023-10-31,4.244,1.17
2023-11-01,4.242,1.13
2023-11-02,4.225,1.49
2023-11-03,4.253,1.47
2023-11-06,4.301,1.63
2023-11-07,4.29,0.91
2023-11-08,4.279,1.58
2023-11-09,4.282,1.14
2023-11-10,4.255,1.09
2023-11-13,4.25,0.94
2023-11-14,4.25,1.05
2023-11-15,4.275,1.38
2023-11-16,4.239,1.22
2023-11-17,4.234,1.67
2023-11-20,4.245,1.19
2023-11-21,4.25,1.29
2023-11-22,4.211,1.06
2023-11-23,4.23,1.08
2023-11-24,4.205,1.03
2023-11-27,4.181,1.08
2023-11-28,4.185,1.01
2023-11-29,4.158,1.05
2023-11-30,4.162,0.93
2023-12-01,4.148,1.2
2023-12-04,4.124,0.96
2023-12-05,4.058,1.4
2023-12-06,4.063,1.39
